event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,1,2025-03-07T19:40:00,2025,OR,Sydney,Hawthorn,76.0,96.0,loss,1650.9491652166287,1629.7338241375294,-21.215341079099368
match,1,2025-03-07T19:40:00,2025,OR,Hawthorn,Sydney,96.0,76.0,win,1593.0910240920275,1614.3063651711268,21.215341079099368
match,2,2025-03-09T15:20:00,2025,OR,Greater Western Sydney,Collingwood,104.0,52.0,win,1569.850389251689,1588.1315941782389,18.2812049265498
match,2,2025-03-09T15:20:00,2025,OR,Collingwood,Greater Western Sydney,52.0,104.0,loss,1556.935045360447,1538.6538404338971,-18.2812049265498
match,3,2025-03-13T19:30:00,2025,1,Richmond,Carlton,82.0,69.0,win,1253.1876263022205,1274.7831272523363,21.59550095011584
match,3,2025-03-13T19:30:00,2025,1,Carlton,Richmond,69.0,82.0,loss,1538.593261477505,1516.9977605273891,-21.59550095011584
match,4,2025-03-14T19:40:00,2025,1,Hawthorn,Essendon,111.0,85.0,win,1614.3063651711268,1622.170099478518,7.863734307391318
match,4,2025-03-14T19:40:00,2025,1,Essendon,Hawthorn,85.0,111.0,loss,1446.0722854611763,1438.208551153785,-7.863734307391318
match,5,2025-03-15T13:20:00,2025,1,Geelong,Fremantle,147.0,69.0,win,1592.147382606215,1608.5915719112145,16.44418930499961
match,5,2025-03-15T13:20:00,2025,1,Fremantle,Geelong,69.0,147.0,loss,1525.5009638996946,1509.056774594695,-16.44418930499961
match,6,2025-03-15T16:15:00,2025,1,Sydney,Brisbane Lions,82.0,86.0,loss,1629.7338241375294,1622.7424607454168,-6.991363392112627
match,6,2025-03-15T16:15:00,2025,1,Brisbane Lions,Sydney,86.0,82.0,win,1699.116757486781,1706.1081208788935,6.991363392112627
match,7,2025-03-15T19:35:00,2025,1,Collingwood,Port Adelaide,136.0,45.0,win,1538.6538404338971,1561.4624786652125,22.808638231315296
match,7,2025-03-15T19:35:00,2025,1,Port Adelaide,Collingwood,45.0,136.0,loss,1566.6303514716049,1543.8217132402895,-22.808638231315296
match,8,2025-03-15T19:35:00,2025,1,Western Bulldogs,North Melbourne,113.0,97.0,win,1593.820614517833,1596.2641945425544,2.443580024721394
match,8,2025-03-15T19:35:00,2025,1,North Melbourne,Western Bulldogs,97.0,113.0,loss,1226.644032216185,1224.2004521914637,-2.443580024721394
match,9,2025-03-16T12:35:00,2025,1,Adelaide,St Kilda,135.0,72.0,win,1462.5075581963258,1484.9676552959413,22.460097099615464
match,9,2025-03-16T12:35:00,2025,1,St Kilda,Adelaide,72.0,135.0,loss,1496.313570434185,1473.8534733345696,-22.460097099615464
match,10,2025-03-16T15:20:00,2025,1,Melbourne,Greater Western Sydney,74.0,77.0,loss,1515.792519524987,1510.0270388009544,-5.7654807240326145
match,10,2025-03-16T15:20:00,2025,1,Greater Western Sydney,Melbourne,77.0,74.0,win,1588.1315941782389,1593.8970749022715,5.7654807240326145
match,11,2025-03-16T18:10:00,2025,1,West Coast,Gold Coast,49.0,136.0,loss,1271.170784741813,1254.717777653221,-16.45300708859183
match,11,2025-03-16T18:10:00,2025,1,Gold Coast,West Coast,136.0,49.0,win,1441.6770185474927,1458.1300256360846,16.45300708859183
match,12,2025-03-20T19:30:00,2025,2,Carlton,Hawthorn,60.0,80.0,loss,1516.9977605273891,1503.2207894123082,-13.776971115080935
match,12,2025-03-20T19:30:00,2025,2,Hawthorn,Carlton,80.0,60.0,win,1622.170099478518,1635.947070593599,13.776971115080935
match,13,2025-03-21T19:40:00,2025,2,Western Bulldogs,Collingwood,70.0,76.0,loss,1596.2641945425544,1584.6675025180914,-11.596692024462948
match,13,2025-03-21T19:40:00,2025,2,Collingwood,Western Bulldogs,76.0,70.0,win,1561.4624786652125,1573.0591706896755,11.596692024462948
match,14,2025-03-22T13:20:00,2025,2,Essendon,Adelaide,100.0,161.0,loss,1438.208551153785,1414.3696328847327,-23.838918269052417
match,14,2025-03-22T13:20:00,2025,2,Adelaide,Essendon,161.0,100.0,win,1484.9676552959413,1508.8065735649936,23.838918269052417
match,15,2025-03-22T16:15:00,2025,2,Port Adelaide,Richmond,140.0,68.0,win,1543.8217132402895,1550.4907310922779,6.669017851988541
match,15,2025-03-22T16:15:00,2025,2,Richmond,Port Adelaide,68.0,140.0,loss,1274.7831272523363,1268.1141094003478,-6.669017851988541
match,16,2025-03-22T19:35:00,2025,2,St Kilda,Geelong,98.0,91.0,win,1473.8534733345696,1486.3386521931045,12.485178858534926
match,16,2025-03-22T19:35:00,2025,2,Geelong,St Kilda,91.0,98.0,loss,1608.5915719112145,1596.1063930526796,-12.485178858534926
