event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,margin_error
match,1,2025-03-07T19:40:00,2025,OR,Sydney,Hawthorn,76.0,96.0,loss,1546.6144631265033,1540.3369525559533,-6.277510570549923,21.971286996924732
match,1,2025-03-07T19:40:00,2025,OR,Hawthorn,Sydney,96.0,76.0,win,1568.7293151388044,1575.0068257093544,6.277510570549923,-21.971286996924732
match,2,2025-03-09T15:20:00,2025,OR,Greater Western Sydney,Collingwood,104.0,52.0,win,1532.9892384025009,1544.4366434157937,11.447405013292789,-40.06591754652476
match,2,2025-03-09T15:20:00,2025,OR,Collingwood,Greater Western Sydney,52.0,104.0,loss,1515.2529085886,1503.805503575307,-11.447405013292789,40.06591754652476
match,3,2025-03-13T19:30:00,2025,1,Richmond,Carlton,82.0,69.0,win,1382.6268218050293,1394.2247522644416,11.597930459412314,-40.5927566079431
match,3,2025-03-13T19:30:00,2025,1,Carlton,Richmond,69.0,82.0,loss,1522.9978482368017,1511.3999177773894,-11.597930459412314,40.5927566079431
match,4,2025-03-14T19:40:00,2025,1,Hawthorn,Essendon,111.0,85.0,win,1575.0068257093544,1572.6006605355553,-2.4061651737991463,8.421578108297012
match,4,2025-03-14T19:40:00,2025,1,Essendon,Hawthorn,85.0,111.0,loss,1467.3205132761664,1469.7266784499654,2.4061651737991463,-8.421578108297012
match,5,2025-03-15T13:20:00,2025,1,Geelong,Fremantle,147.0,69.0,win,1539.699818238106,1558.3489841149317,18.649165876825595,-65.27208056888958
match,5,2025-03-15T13:20:00,2025,1,Fremantle,Geelong,69.0,147.0,loss,1518.7881405136643,1500.1389746368386,-18.649165876825595,65.27208056888958
match,6,2025-03-15T16:15:00,2025,1,Sydney,Brisbane Lions,82.0,86.0,loss,1540.3369525559533,1539.5693962488313,-0.7675563071219683,2.686447074926889
match,6,2025-03-15T16:15:00,2025,1,Brisbane Lions,Sydney,86.0,82.0,win,1575.5911642562457,1576.3587205633678,0.7675563071219683,-2.686447074926889
match,7,2025-03-15T19:35:00,2025,1,Collingwood,Port Adelaide,136.0,45.0,win,1503.805503575307,1528.958576110895,25.153072535587935,-88.03575387455777
match,7,2025-03-15T19:35:00,2025,1,Port Adelaide,Collingwood,45.0,136.0,loss,1521.9485190735381,1496.7954465379503,-25.153072535587935,88.03575387455777
match,8,2025-03-15T19:35:00,2025,1,Western Bulldogs,North Melbourne,113.0,97.0,win,1549.3633389780146,1540.7389666548208,-8.624372323193613,30.185303131177648
match,8,2025-03-15T19:35:00,2025,1,North Melbourne,Western Bulldogs,97.0,113.0,loss,1394.622126453304,1403.2464987764977,8.624372323193613,-30.185303131177648
match,9,2025-03-16T12:35:00,2025,1,Adelaide,St Kilda,135.0,72.0,win,1505.1057431171114,1521.1353296842062,16.02958656709492,-56.10355298483222
match,9,2025-03-16T12:35:00,2025,1,St Kilda,Adelaide,72.0,135.0,loss,1507.5199550564403,1491.4903684893454,-16.02958656709492,56.10355298483222
match,10,2025-03-16T15:20:00,2025,1,Melbourne,Greater Western Sydney,74.0,77.0,loss,1493.8508595202145,1494.4641297984701,0.6132702782556569,-2.1464459738947994
match,10,2025-03-16T15:20:00,2025,1,Greater Western Sydney,Melbourne,77.0,74.0,win,1544.4366434157937,1543.823373137538,-0.6132702782556569,2.1464459738947994
match,11,2025-03-16T18:10:00,2025,1,West Coast,Gold Coast,49.0,136.0,loss,1388.980667426203,1367.6248025690877,-21.355864857115275,74.74552699990346
match,11,2025-03-16T18:10:00,2025,1,Gold Coast,West Coast,136.0,49.0,win,1467.998559426589,1489.3544242837042,21.355864857115275,-74.74552699990346
match,12,2025-03-20T19:30:00,2025,2,Carlton,Hawthorn,60.0,80.0,loss,1511.3999177773894,1507.9142565458299,-3.4856612315595776,12.199814310458521
match,12,2025-03-20T19:30:00,2025,2,Hawthorn,Carlton,80.0,60.0,win,1572.6006605355553,1576.086321767115,3.4856612315595776,-12.199814310458521
match,13,2025-03-21T19:40:00,2025,2,Western Bulldogs,Collingwood,70.0,76.0,loss,1540.7389666548208,1536.0403673302546,-4.698599324566138,16.445097635981483
match,13,2025-03-21T19:40:00,2025,2,Collingwood,Western Bulldogs,76.0,70.0,win,1528.958576110895,1533.657175435461,4.698599324566138,-16.445097635981483
match,14,2025-03-22T13:20:00,2025,2,Essendon,Adelaide,100.0,161.0,loss,1469.7266784499654,1453.8272963952684,-15.899382054697087,55.647837191439805
match,14,2025-03-22T13:20:00,2025,2,Adelaide,Essendon,161.0,100.0,win,1521.1353296842062,1537.0347117389033,15.899382054697087,-55.647837191439805
match,15,2025-03-22T16:15:00,2025,2,Port Adelaide,Richmond,140.0,68.0,win,1496.7954465379503,1507.8975398041282,11.102093266177949,-38.85732643162282
match,15,2025-03-22T16:15:00,2025,2,Richmond,Port Adelaide,68.0,140.0,loss,1394.2247522644416,1383.1226589982637,-11.102093266177949,38.85732643162282
match,16,2025-03-22T19:35:00,2025,2,St Kilda,Geelong,98.0,91.0,win,1491.4903684893454,1496.1231267483158,4.632758258970447,-16.214653906396563
match,16,2025-03-22T19:35:00,2025,2,Geelong,St Kilda,91.0,98.0,loss,1558.3489841149317,1553.7162258559613,-4.632758258970447,16.214653906396563
match,17,2025-03-23T13:10:00,2025,2,Brisbane Lions,West Coast,94.0,75.0,win,1576.3587205633678,1564.734869278062,-11.62385128530572,40.68347949857002
match,17,2025-03-23T13:10:00,2025,2,West Coast,Brisbane Lions,75.0,94.0,loss,1367.6248025690877,1379.2486538543935,11.62385128530572,-40.68347949857002
match,18,2025-03-23T15:20:00,2025,2,North Melbourne,Melbourne,125.0,66.0,win,1403.2464987764977,1424.4763295637815,21.22983078728375,-74.30440775549312
match,18,2025-03-23T15:20:00,2025,2,Melbourne,North Melbourne,66.0,125.0,loss,1494.4641297984701,1473.2342990111863,-21.22983078728375,74.30440775549312
match,19,2025-03-23T18:10:00,2025,2,Fremantle,Sydney,65.0,68.0,loss,1500.1389746368386,1499.9554333234096,-0.183541313429097,0.6423945970018394
match,19,2025-03-23T18:10:00,2025,2,Sydney,Fremantle,68.0,65.0,win,1539.5693962488313,1539.7529375622603,0.183541313429097,-0.6423945970018394
match,20,2025-03-27T19:30:00,2025,3,Essendon,Port Adelaide,72.0,60.0,win,1453.8272963952684,1458.9751709244726,5.147874529204273,-18.017560852214956
match,20,2025-03-27T19:30:00,2025,3,Port Adelaide,Essendon,60.0,72.0,loss,1507.8975398041282,1502.749665274924,-5.147874529204273,18.017560852214956
match,21,2025-03-28T19:40:00,2025,3,Carlton,Western Bulldogs,75.0,83.0,loss,1507.9142565458299,1505.4946930304316,-2.41956351539823,8.468472303893805
match,21,2025-03-28T19:40:00,2025,3,Western Bulldogs,Carlton,83.0,75.0,win,1536.0403673302546,1538.459930845653,2.41956351539823,-8.468472303893805
match,22,2025-03-29T13:20:00,2025,3,Melbourne,Gold Coast,62.0,120.0,loss,1473.2342990111863,1455.6714508163661,-17.562848194820145,61.46996868187051
match,22,2025-03-29T13:20:00,2025,3,Gold Coast,Melbourne,120.0,62.0,win,1489.3544242837042,1506.9172724785244,17.562848194820145,-61.46996868187051
match,23,2025-03-29T16:15:00,2025,3,St Kilda,Richmond,135.0,53.0,win,1496.1231267483158,1509.3373790518835,13.214252303567703,-46.24988306248696
match,23,2025-03-29T16:15:00,2025,3,Richmond,St Kilda,53.0,135.0,loss,1383.1226589982637,1369.908406694696,-13.214252303567703,46.24988306248696
match,24,2025-03-29T19:35:00,2025,3,Brisbane Lions,Geelong,70.0,61.0,win,1564.734869278062,1564.376394747912,-0.35847453015004965,1.2546608555251737
match,24,2025-03-29T19:35:00,2025,3,Geelong,Brisbane Lions,61.0,70.0,loss,1553.7162258559613,1554.0747003861113,0.35847453015004965,-1.2546608555251737
match,25,2025-03-29T19:35:00,2025,3,Hawthorn,Greater Western Sydney,76.0,64.0,win,1576.086321767115,1575.067539722145,-1.0187820449697742,3.56573715739421
match,25,2025-03-29T19:35:00,2025,3,Greater Western Sydney,Hawthorn,64.0,76.0,loss,1543.823373137538,1544.842155182508,1.0187820449697742,-3.56573715739421
match,26,2025-03-30T15:20:00,2025,3,Adelaide,North Melbourne,114.0,78.0,win,1537.0347117389033,1537.1376844406802,0.10297270177701583,-0.3604044562195554
match,26,2025-03-30T15:20:00,2025,3,North Melbourne,Adelaide,78.0,114.0,loss,1424.4763295637815,1424.3733568620046,-0.10297270177701583,0.3604044562195554
match,27,2025-03-30T18:10:00,2025,3,West Coast,Fremantle,68.0,106.0,loss,1379.2486538543935,1374.870566673609,-4.378087180784568,15.323305132745986
match,27,2025-03-30T18:10:00,2025,3,Fremantle,West Coast,106.0,68.0,win,1499.9554333234096,1504.3335205041942,4.378087180784568,-15.323305132745986
match,28,2025-04-03T19:30:00,2025,4,Collingwood,Carlton,63.0,46.0,win,1533.657175435461,1534.3598552636734,0.702679828212175,-2.4593793987426125
match,28,2025-04-03T19:30:00,2025,4,Carlton,Collingwood,46.0,63.0,loss,1505.4946930304316,1504.7920132022193,-0.702679828212175,2.4593793987426125
match,29,2025-04-04T19:40:00,2025,4,Geelong,Melbourne,85.0,46.0,win,1554.0747003861113,1556.0458968454152,1.9711964593039153,-6.899187607563704
match,29,2025-04-04T19:40:00,2025,4,Melbourne,Geelong,46.0,85.0,loss,1455.6714508163661,1453.7002543570622,-1.9711964593039153,6.899187607563704
match,30,2025-04-05T13:20:00,2025,4,Gold Coast,Adelaide,91.0,90.0,win,1506.9172724785244,1507.2187304758213,0.3014579972968444,-1.0551029905389555
match,30,2025-04-05T13:20:00,2025,4,Adelaide,Gold Coast,90.0,91.0,loss,1537.1376844406802,1536.8362264433833,-0.3014579972968444,1.0551029905389555
match,31,2025-04-05T16:15:00,2025,4,Richmond,Brisbane Lions,90.0,118.0,loss,1369.908406694696,1373.6561201270686,3.7477134323725716,-13.116997013304001
match,31,2025-04-05T16:15:00,2025,4,Brisbane Lions,Richmond,118.0,90.0,win,1564.376394747912,1560.6286813155393,-3.7477134323725716,13.116997013304001
match,32,2025-04-05T19:35:00,2025,4,North Melbourne,Sydney,52.0,117.0,loss,1424.3733568620046,1411.9004697691657,-12.472887092838878,43.655104824936075
match,32,2025-04-05T19:35:00,2025,4,Sydney,North Melbourne,117.0,52.0,win,1539.7529375622603,1552.2258246550991,12.472887092838878,-43.655104824936075
match,33,2025-04-06T13:10:00,2025,4,Greater Western Sydney,West Coast,132.0,51.0,win,1544.842155182508,1553.7013274318722,8.859172249364358,-31.00710287277525
match,33,2025-04-06T13:10:00,2025,4,West Coast,Greater Western Sydney,51.0,132.0,loss,1374.870566673609,1366.0113944242446,-8.859172249364358,31.00710287277525
match,34,2025-04-06T15:20:00,2025,4,Port Adelaide,St Kilda,72.0,89.0,loss,1502.749665274924,1496.2202162589924,-6.529449015931456,22.853071555760096
match,34,2025-04-06T15:20:00,2025,4,St Kilda,Port Adelaide,89.0,72.0,win,1509.3373790518835,1515.866828067815,6.529449015931456,-22.853071555760096
match,35,2025-04-06T17:10:00,2025,4,Fremantle,Western Bulldogs,97.0,81.0,win,1504.3335205041942,1509.1996926714412,4.8661721672470515,-17.03160258536468
match,35,2025-04-06T17:10:00,2025,4,Western Bulldogs,Fremantle,81.0,97.0,loss,1538.459930845653,1533.593758678406,-4.8661721672470515,17.03160258536468
match,36,2025-04-10T19:40:00,2025,5,Adelaide,Geelong,100.0,119.0,loss,1536.8362264433833,1530.6369171863855,-6.199309256997724,21.697582399492035
match,36,2025-04-10T19:40:00,2025,5,Geelong,Adelaide,119.0,100.0,win,1556.0458968454152,1562.245206102413,6.199309256997724,-21.697582399492035
match,37,2025-04-11T19:40:00,2025,5,Collingwood,Sydney,109.0,78.0,win,1534.3598552636734,1542.3502816487753,7.990426385101841,-27.966492347856445
match,37,2025-04-11T19:40:00,2025,5,Sydney,Collingwood,78.0,109.0,loss,1552.2258246550991,1544.2353982699974,-7.990426385101841,27.966492347856445
match,38,2025-04-12T12:35:00,2025,5,North Melbourne,Gold Coast,89.0,141.0,loss,1411.9004697691657,1401.7089169624983,-10.19155280666746,35.67043482333611
match,38,2025-04-12T12:35:00,2025,5,Gold Coast,North Melbourne,141.0,89.0,win,1507.2187304758213,1517.4102832824888,10.19155280666746,-35.67043482333611
