event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,1,2025-03-07T19:40:00,2025,OR,Sydney,Hawthorn,76.0,96.0,loss,1500.0,1482.4350973163116,-17.564902683688388
match,1,2025-03-07T19:40:00,2025,OR,Hawthorn,Sydney,96.0,76.0,win,1500.0,1517.5649026836884,17.564902683688388
match,2,2025-03-09T15:20:00,2025,OR,Greater Western Sydney,Collingwood,104.0,52.0,win,1500.0,1512.8881873137468,12.888187313746812
match,2,2025-03-09T15:20:00,2025,OR,Collingwood,Greater Western Sydney,52.0,104.0,loss,1500.0,1487.1118126862532,-12.888187313746812
match,3,2025-03-13T19:30:00,2025,1,Richmond,Carlton,82.0,69.0,win,1500.0,1512.3495400267552,12.349540026755221
match,3,2025-03-13T19:30:00,2025,1,Carlton,Richmond,69.0,82.0,loss,1500.0,1487.6504599732448,-12.349540026755221
match,4,2025-03-14T19:40:00,2025,1,Hawthorn,Essendon,111.0,85.0,win,1517.5649026836884,1529.2703765023064,11.705473818617975
match,4,2025-03-14T19:40:00,2025,1,Essendon,Hawthorn,85.0,111.0,loss,1500.0,1488.294526181382,-11.705473818617975
match,5,2025-03-15T13:20:00,2025,1,Geelong,Fremantle,147.0,69.0,win,1500.0,1513.0518031461538,13.051803146153816
match,5,2025-03-15T13:20:00,2025,1,Fremantle,Geelong,69.0,147.0,loss,1500.0,1486.9481968538462,-13.051803146153816
match,6,2025-03-15T16:15:00,2025,1,Sydney,Brisbane Lions,82.0,86.0,loss,1482.4350973163116,1465.714649479255,-16.720447837056554
match,6,2025-03-15T16:15:00,2025,1,Brisbane Lions,Sydney,86.0,82.0,win,1500.0,1516.7204478370566,16.720447837056554
match,7,2025-03-15T19:35:00,2025,1,Collingwood,Port Adelaide,136.0,45.0,win,1487.1118126862532,1500.790175709335,13.678363023081829
match,7,2025-03-15T19:35:00,2025,1,Port Adelaide,Collingwood,45.0,136.0,loss,1500.0,1486.3216369769182,-13.678363023081829
match,8,2025-03-15T19:35:00,2025,1,Western Bulldogs,North Melbourne,113.0,97.0,win,1500.0,1512.3684187766485,12.368418776648468
match,8,2025-03-15T19:35:00,2025,1,North Melbourne,Western Bulldogs,97.0,113.0,loss,1500.0,1487.6315812233515,-12.368418776648468
match,9,2025-03-16T12:35:00,2025,1,Adelaide,St Kilda,135.0,72.0,win,1500.0,1512.9574093966883,12.957409396688263
match,9,2025-03-16T12:35:00,2025,1,St Kilda,Adelaide,72.0,135.0,loss,1500.0,1487.0425906033117,-12.957409396688263
match,10,2025-03-16T15:20:00,2025,1,Melbourne,Greater Western Sydney,74.0,77.0,loss,1500.0,1483.086828859764,-16.913171140236045
match,10,2025-03-16T15:20:00,2025,1,Greater Western Sydney,Melbourne,77.0,74.0,win,1512.8881873137468,1529.8013584539829,16.913171140236045
match,11,2025-03-16T18:10:00,2025,1,West Coast,Gold Coast,49.0,136.0,loss,1500.0,1482.0134719020318,-17.986528097968176
match,11,2025-03-16T18:10:00,2025,1,Gold Coast,West Coast,136.0,49.0,win,1500.0,1517.9865280979682,17.986528097968176
match,12,2025-03-20T19:30:00,2025,2,Carlton,Hawthorn,60.0,80.0,loss,1487.6504599732448,1471.5597099398544,-16.09075003339035
match,12,2025-03-20T19:30:00,2025,2,Hawthorn,Carlton,80.0,60.0,win,1529.2703765023064,1545.3611265356967,16.09075003339035
match,13,2025-03-21T19:40:00,2025,2,Western Bulldogs,Collingwood,70.0,76.0,loss,1512.3684187766485,1494.1181983732597,-18.250220403388766
match,13,2025-03-21T19:40:00,2025,2,Collingwood,Western Bulldogs,76.0,70.0,win,1500.790175709335,1519.0403961127238,18.250220403388766
match,14,2025-03-22T13:20:00,2025,2,Essendon,Adelaide,100.0,161.0,loss,1488.294526181382,1471.5185701439002,-16.77595603748182
match,14,2025-03-22T13:20:00,2025,2,Adelaide,Essendon,161.0,100.0,win,1512.9574093966883,1529.73336543417,16.77595603748182
match,15,2025-03-22T16:15:00,2025,2,Port Adelaide,Richmond,140.0,68.0,win,1486.3216369769182,1500.441084922025,14.119447945106913
match,15,2025-03-22T16:15:00,2025,2,Richmond,Port Adelaide,68.0,140.0,loss,1512.3495400267552,1498.2300920816483,-14.119447945106913
match,16,2025-03-22T19:35:00,2025,2,St Kilda,Geelong,98.0,91.0,win,1487.0425906033117,1500.4529528174514,13.410362214139695
match,16,2025-03-22T19:35:00,2025,2,Geelong,St Kilda,91.0,98.0,loss,1513.0518031461538,1499.6414409320141,-13.410362214139695
match,17,2025-03-23T13:10:00,2025,2,Brisbane Lions,West Coast,94.0,75.0,win,1516.7204478370566,1527.9701631036407,11.24971526658419
match,17,2025-03-23T13:10:00,2025,2,West Coast,Brisbane Lions,75.0,94.0,loss,1482.0134719020318,1470.7637566354476,-11.24971526658419
match,18,2025-03-23T15:20:00,2025,2,North Melbourne,Melbourne,125.0,66.0,win,1487.6315812233515,1500.0813545327157,12.449773309364218
match,18,2025-03-23T15:20:00,2025,2,Melbourne,North Melbourne,66.0,125.0,loss,1483.086828859764,1470.6370555503997,-12.449773309364218
match,19,2025-03-23T18:10:00,2025,2,Fremantle,Sydney,65.0,68.0,loss,1486.9481968538462,1468.6076554121885,-18.340541441657706
match,19,2025-03-23T18:10:00,2025,2,Sydney,Fremantle,68.0,65.0,win,1465.714649479255,1484.0551909209128,18.340541441657706
match,20,2025-03-27T19:30:00,2025,3,Essendon,Port Adelaide,72.0,60.0,win,1471.5185701439002,1485.3845146809288,13.865944537028554
match,20,2025-03-27T19:30:00,2025,3,Port Adelaide,Essendon,60.0,72.0,loss,1500.441084922025,1486.5751403849965,-13.865944537028554
match,21,2025-03-28T19:40:00,2025,3,Carlton,Western Bulldogs,75.0,83.0,loss,1471.5597099398544,1454.7286297583476,-16.831080181506877
match,21,2025-03-28T19:40:00,2025,3,Western Bulldogs,Carlton,83.0,75.0,win,1494.1181983732597,1510.9492785547666,16.831080181506877
match,22,2025-03-29T13:20:00,2025,3,Melbourne,Gold Coast,62.0,120.0,loss,1470.6370555503997,1454.8555267425204,-15.78152880787934
match,22,2025-03-29T13:20:00,2025,3,Gold Coast,Melbourne,120.0,62.0,win,1517.9865280979682,1533.7680569058475,15.78152880787934
match,23,2025-03-29T16:15:00,2025,3,St Kilda,Richmond,135.0,53.0,win,1500.4529528174514,1513.1440288943352,12.691076076883746
match,23,2025-03-29T16:15:00,2025,3,Richmond,St Kilda,53.0,135.0,loss,1498.2300920816483,1485.5390160047646,-12.691076076883746
match,24,2025-03-29T19:35:00,2025,3,Brisbane Lions,Geelong,70.0,61.0,win,1527.9701631036407,1539.4151862089032,11.445023105262408
match,24,2025-03-29T19:35:00,2025,3,Geelong,Brisbane Lions,61.0,70.0,loss,1499.6414409320141,1488.1964178267517,-11.445023105262408
match,25,2025-03-29T19:35:00,2025,3,Hawthorn,Greater Western Sydney,76.0,64.0,win,1545.3611265356967,1557.348748109467,11.987621573770184
match,25,2025-03-29T19:35:00,2025,3,Greater Western Sydney,Hawthorn,64.0,76.0,loss,1529.8013584539829,1517.8137368802127,-11.987621573770184
match,26,2025-03-30T15:20:00,2025,3,Adelaide,North Melbourne,114.0,78.0,win,1529.73336543417,1541.294527899432,11.561162465261987
match,26,2025-03-30T15:20:00,2025,3,North Melbourne,Adelaide,78.0,114.0,loss,1500.0813545327157,1488.5201920674538,-11.561162465261987
match,27,2025-03-30T18:10:00,2025,3,West Coast,Fremantle,68.0,106.0,loss,1470.7637566354476,1452.7024628296952,-18.061293805752484
match,27,2025-03-30T18:10:00,2025,3,Fremantle,West Coast,106.0,68.0,win,1468.6076554121885,1486.668949217941,18.061293805752484
match,28,2025-04-03T19:30:00,2025,4,Collingwood,Carlton,63.0,46.0,win,1519.0403961127238,1528.846542780757,9.806146668033307
match,28,2025-04-03T19:30:00,2025,4,Carlton,Collingwood,46.0,63.0,loss,1454.7286297583476,1444.9224830903142,-9.806146668033307
match,29,2025-04-04T19:40:00,2025,4,Geelong,Melbourne,85.0,46.0,win,1488.1964178267517,1499.3459108634554,11.149493036703689
match,29,2025-04-04T19:40:00,2025,4,Melbourne,Geelong,46.0,85.0,loss,1454.8555267425204,1443.7060337058167,-11.149493036703689
match,30,2025-04-05T13:20:00,2025,4,Gold Coast,Adelaide,91.0,90.0,win,1533.7680569058475,1546.6527263684904,12.884669462642933
match,30,2025-04-05T13:20:00,2025,4,Adelaide,Gold Coast,90.0,91.0,loss,1541.294527899432,1528.4098584367891,-12.884669462642933
match,31,2025-04-05T16:15:00,2025,4,Richmond,Brisbane Lions,90.0,118.0,loss,1485.5390160047646,1470.2279513996623,-15.311064605102274
match,31,2025-04-05T16:15:00,2025,4,Brisbane Lions,Richmond,118.0,90.0,win,1539.4151862089032,1554.7262508140054,15.311064605102274
match,32,2025-04-05T19:35:00,2025,4,North Melbourne,Sydney,52.0,117.0,loss,1488.5201920674538,1470.4848369572453,-18.035355110208457
match,32,2025-04-05T19:35:00,2025,4,Sydney,North Melbourne,117.0,52.0,win,1484.0551909209128,1502.0905460311212,18.035355110208457
match,33,2025-04-06T13:10:00,2025,4,Greater Western Sydney,West Coast,132.0,51.0,win,1517.8137368802127,1528.2583576698873,10.444620789674673
match,33,2025-04-06T13:10:00,2025,4,West Coast,Greater Western Sydney,51.0,132.0,loss,1452.7024628296952,1442.2578420400205,-10.444620789674673
match,34,2025-04-06T15:20:00,2025,4,Port Adelaide,St Kilda,72.0,89.0,loss,1486.5751403849965,1470.1576935308458,-16.41744685415074
match,34,2025-04-06T15:20:00,2025,4,St Kilda,Port Adelaide,89.0,72.0,win,1513.1440288943352,1529.561475748486,16.41744685415074
match,35,2025-04-06T17:10:00,2025,4,Fremantle,Western Bulldogs,97.0,81.0,win,1486.668949217941,1500.3611755148013,13.692226296860326
match,35,2025-04-06T17:10:00,2025,4,Western Bulldogs,Fremantle,81.0,97.0,loss,1510.9492785547666,1497.2570522579063,-13.692226296860326
match,36,2025-04-10T19:40:00,2025,5,Adelaide,Geelong,100.0,119.0,loss,1528.4098584367891,1509.6487930842163,-18.761065352572814
match,36,2025-04-10T19:40:00,2025,5,Geelong,Adelaide,119.0,100.0,win,1499.3459108634554,1518.1069762160282,18.761065352572814
match,37,2025-04-11T19:40:00,2025,5,Collingwood,Sydney,109.0,78.0,win,1528.846542780757,1540.4940431044897,11.64750032373263
match,37,2025-04-11T19:40:00,2025,5,Sydney,Collingwood,78.0,109.0,loss,1502.0905460311212,1490.4430457073886,-11.64750032373263
match,38,2025-04-12T12:35:00,2025,5,North Melbourne,Gold Coast,89.0,141.0,loss,1470.4848369572453,1455.9843110259892,-14.500525931256107
match,38,2025-04-12T12:35:00,2025,5,Gold Coast,North Melbourne,141.0,89.0,win,1546.6527263684904,1561.1532522997466,14.500525931256107
match,39,2025-04-12T13:20:00,2025,5,Carlton,West Coast,121.0,50.0,win,1444.9224830903142,1457.8183773806293,12.895894290315027
match,39,2025-04-12T13:20:00,2025,5,West Coast,Carlton,50.0,121.0,loss,1442.2578420400205,1429.3619477497055,-12.895894290315027
match,40,2025-04-12T16:15:00,2025,5,Western Bulldogs,Brisbane Lions,97.0,118.0,loss,1497.2570522579063,1482.1451579263573,-15.11189433154891
match,40,2025-04-12T16:15:00,2025,5,Brisbane Lions,Western Bulldogs,118.0,97.0,win,1554.7262508140054,1569.8381451455543,15.11189433154891
match,41,2025-04-12T19:35:00,2025,5,Melbourne,Essendon,57.0,96.0,loss,1443.7060337058167,1427.7995552722095,-15.906478433607163
match,41,2025-04-12T19:35:00,2025,5,Essendon,Melbourne,96.0,57.0,win,1485.3845146809288,1501.290993114536,15.906478433607163
match,42,2025-04-13T12:35:00,2025,5,Richmond,Fremantle,47.0,108.0,loss,1470.2279513996623,1453.6864580440638,-16.541493355598504
match,42,2025-04-13T12:35:00,2025,5,Fremantle,Richmond,108.0,47.0,win,1500.3611755148013,1516.9026688703998,16.541493355598504
match,43,2025-04-13T15:20:00,2025,5,St Kilda,Greater Western Sydney,82.0,110.0,loss,1529.561475748486,1511.8914907443984,-17.669985004087494
match,43,2025-04-13T15:20:00,2025,5,Greater Western Sydney,St Kilda,110.0,82.0,win,1528.2583576698873,1545.9283426739748,17.669985004087494
match,44,2025-04-13T19:20:00,2025,5,Port Adelaide,Hawthorn,121.0,91.0,win,1470.1576935308458,1486.6466626964207,16.488969165574872
match,44,2025-04-13T19:20:00,2025,5,Hawthorn,Port Adelaide,91.0,121.0,loss,1557.348748109467,1540.859778943892,-16.488969165574872
match,45,2025-04-17T19:30:00,2025,6,Brisbane Lions,Collingwood,53.0,105.0,loss,1569.8381451455543,1550.8580333745979,-18.980111770956455
match,45,2025-04-17T19:30:00,2025,6,Collingwood,Brisbane Lions,105.0,53.0,win,1540.4940431044897,1559.4741548754462,18.980111770956455
match,46,2025-04-18T15:20:00,2025,6,North Melbourne,Carlton,71.0,153.0,loss,1455.9843110259892,1437.8126527356017,-18.17165829038754
match,46,2025-04-18T15:20:00,2025,6,Carlton,North Melbourne,153.0,71.0,win,1457.8183773806293,1475.9900356710168,18.17165829038754
match,47,2025-04-18T18:10:00,2025,6,West Coast,Essendon,75.0,77.0,loss,1429.3619477497055,1414.993504226083,-14.368443523622545
match,47,2025-04-18T18:10:00,2025,6,Essendon,West Coast,77.0,75.0,win,1501.290993114536,1515.6594366381585,14.368443523622545
match,48,2025-04-19T13:20:00,2025,6,Melbourne,Fremantle,107.0,97.0,win,1427.7995552722095,1444.2445562213793,16.445000949169753
match,48,2025-04-19T13:20:00,2025,6,Fremantle,Melbourne,97.0,107.0,loss,1516.9026688703998,1500.45766792123,-16.445000949169753
match,49,2025-04-19T16:15:00,2025,6,Adelaide,Greater Western Sydney,52.0,34.0,win,1509.6487930842163,1523.8685509055192,14.219757821302892
match,49,2025-04-19T16:15:00,2025,6,Greater Western Sydney,Adelaide,34.0,52.0,loss,1545.9283426739748,1531.708584852672,-14.219757821302892
