event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,1,2025-03-07T19:40:00,2025,OR,Sydney,Hawthorn,76.0,96.0,loss,1565.627815718084,1560.0045886412477,-5.6232270768364225
match,1,2025-03-07T19:40:00,2025,OR,Hawthorn,Sydney,96.0,76.0,win,1514.7019452842915,1520.325172361128,5.6232270768364225
match,2,2025-03-09T15:20:00,2025,OR,Greater Western Sydney,Collingwood,104.0,52.0,win,1519.7490496438386,1524.6138209758847,4.864771332045981
match,2,2025-03-09T15:20:00,2025,OR,Collingwood,Greater Western Sydney,52.0,104.0,loss,1526.052774814126,1521.18800348208,-4.864771332045981
match,3,2025-03-13T19:30:00,2025,1,Richmond,Carlton,82.0,69.0,win,1413.9474002858635,1418.0935235601842,4.146123274320692
match,3,2025-03-13T19:30:00,2025,1,Carlton,Richmond,69.0,82.0,loss,1519.4035762218978,1515.2574529475771,-4.146123274320692
match,4,2025-03-14T19:40:00,2025,1,Hawthorn,Essendon,111.0,85.0,win,1520.325172361128,1523.7374995545501,3.4123271934222963
match,4,2025-03-14T19:40:00,2025,1,Essendon,Hawthorn,85.0,111.0,loss,1483.3419740416846,1479.9296468482623,-3.4123271934222963
match,5,2025-03-15T13:20:00,2025,1,Geelong,Fremantle,147.0,69.0,win,1544.5455294815206,1549.277847477307,4.732317995786482
match,5,2025-03-15T13:20:00,2025,1,Fremantle,Geelong,69.0,147.0,loss,1512.9621971510821,1508.2298791552957,-4.732317995786482
match,6,2025-03-15T16:15:00,2025,1,Sydney,Brisbane Lions,82.0,86.0,loss,1560.0045886412477,1557.623113511251,-2.381475129996743
match,6,2025-03-15T16:15:00,2025,1,Brisbane Lions,Sydney,86.0,82.0,win,1576.5552939456518,1578.9367690756485,2.381475129996743
match,7,2025-03-15T19:35:00,2025,1,Collingwood,Port Adelaide,136.0,45.0,win,1521.18800348208,1526.8419110387258,5.653907556645897
match,7,2025-03-15T19:35:00,2025,1,Port Adelaide,Collingwood,45.0,136.0,loss,1530.3344537813987,1524.6805462247528,-5.653907556645897
match,8,2025-03-15T19:35:00,2025,1,Western Bulldogs,North Melbourne,113.0,97.0,win,1536.0307523447445,1537.8096349292512,1.7788825845065288
match,8,2025-03-15T19:35:00,2025,1,North Melbourne,Western Bulldogs,97.0,113.0,loss,1380.3089152175214,1378.5300326330148,-1.7788825845065288
match,9,2025-03-16T12:35:00,2025,1,Adelaide,St Kilda,135.0,72.0,win,1479.2379222410013,1484.5918567082074,5.353934467205932
match,9,2025-03-16T12:35:00,2025,1,St Kilda,Adelaide,72.0,135.0,loss,1499.4585922190888,1494.1046577518828,-5.353934467205932
match,10,2025-03-16T15:20:00,2025,1,Melbourne,Greater Western Sydney,74.0,77.0,loss,1523.261674481923,1521.1665560815961,-2.095118400326799
match,10,2025-03-16T15:20:00,2025,1,Greater Western Sydney,Melbourne,77.0,74.0,win,1524.6138209758847,1526.7089393762114,2.095118400326799
match,11,2025-03-16T18:10:00,2025,1,West Coast,Gold Coast,49.0,136.0,loss,1395.9914126863084,1389.8694979722136,-6.121914714094934
match,11,2025-03-16T18:10:00,2025,1,Gold Coast,West Coast,136.0,49.0,win,1478.4887209747922,1484.610635688887,6.121914714094934
match,12,2025-03-20T19:30:00,2025,2,Carlton,Hawthorn,60.0,80.0,loss,1515.2574529475771,1510.328674858939,-4.928778088638201
match,12,2025-03-20T19:30:00,2025,2,Hawthorn,Carlton,80.0,60.0,win,1523.7374995545501,1528.6662776431883,4.928778088638201
match,13,2025-03-21T19:40:00,2025,2,Western Bulldogs,Collingwood,70.0,76.0,loss,1537.8096349292512,1534.6670809243874,-3.142554004863683
match,13,2025-03-21T19:40:00,2025,2,Collingwood,Western Bulldogs,76.0,70.0,win,1526.8419110387258,1529.9844650435896,3.142554004863683
match,14,2025-03-22T13:20:00,2025,2,Essendon,Adelaide,100.0,161.0,loss,1479.9296468482623,1472.9903780508603,-6.939268797402096
match,14,2025-03-22T13:20:00,2025,2,Adelaide,Essendon,161.0,100.0,win,1484.5918567082074,1491.5311255056095,6.939268797402096
match,15,2025-03-22T16:15:00,2025,2,Port Adelaide,Richmond,140.0,68.0,win,1524.6805462247528,1528.1442775490934,3.4637313243407553
match,15,2025-03-22T16:15:00,2025,2,Richmond,Port Adelaide,68.0,140.0,loss,1418.0935235601842,1414.6297922358435,-3.4637313243407553
match,16,2025-03-22T19:35:00,2025,2,St Kilda,Geelong,98.0,91.0,win,1494.1046577518828,1496.8815006381512,2.7768428862685735
match,16,2025-03-22T19:35:00,2025,2,Geelong,St Kilda,91.0,98.0,loss,1549.277847477307,1546.5010045910385,-2.7768428862685735
match,17,2025-03-23T13:10:00,2025,2,Brisbane Lions,West Coast,94.0,75.0,win,1578.9367690756485,1580.5617938719543,1.6250247963056645
match,17,2025-03-23T13:10:00,2025,2,West Coast,Brisbane Lions,75.0,94.0,loss,1389.8694979722136,1388.2444731759078,-1.6250247963056645
