venue_id,primary_name,city,state
1,Marvel Stadium,Melbourne,VIC
2,GMHBA Stadium,Geelong,VIC
3,Optus Stadium,Perth,WA
4,Accor Stadium,Sydney,NSW
5,Blundstone Arena,Hobart,TAS
6,University of Tasmania Stadium,Launceston,TAS
7,Metricon Stadium,Gold Coast,QLD
8,The Gabba,Brisbane,QLD
9,Sydney Cricket Ground,Sydney,NSW
10,Melbourne Cricket Ground,Melbourne,VIC
11,W.A.C.A. Ground,Perth,WA
12,Jiangwan Stadium,Shanghai,INTL
13,Mars Stadium,Ballarat,VIC
14,Manuka Oval,Canberra,ACT
15,TIO Stadium,Darwin,NT
16,Princes Park,Melbourne,VIC
17,Victoria Park,Melbourne,VIC
18,Junction Oval,Melbourne,VIC
19,Waverley Park,Melbourne,VIC
20,Lake Oval,Melbourne,VIC
21,Western Oval,Melbourne,VIC
22,Windy Hill,Melbourne,VIC
23,Brunswick St,Melbourne,VIC
24,Subiaco,Perth,WA
25,Punt Rd,Melbourne,VIC
26,Arden St,Melbourne,VIC
27,Football Park,Adelaide,SA
28,Glenferrie Oval,Melbourne,VIC
29,Corio Oval,Geelong,VIC
30,Adelaide Oval,Adelaide,SA
31,Moorabbin Oval,Melbourne,VIC
32,East Melbourne,Melbourne,VIC
33,Sydney Showground,Sydney,NSW
34,Cazaly's Stadium,Cairns,QLD
35,Toorak Park,Melbourne,VIC
36,Traeger Park,Alice Springs,NT
37,Coburg Oval,Melbourne,VIC
38,Yarraville Oval,Melbourne,VIC
39,Norwood Oval,Adelaide,SA
40,North Hobart,Hobart,TAS
41,Wellington,Wellington,NZ
42,Olympic Park,Melbourne,VIC
43,Adelaide Hills,Adelaide,SA
44,Barossa Park,Adelaide,SA
45,Yallourn,Melbourne,VIC
46,Riverway Stadium,Townsville,QLD
47,Hands Oval,Bunbury,WA
48,Euroa,Melbourne,VIC
49,Bruce Stadium,Canberra,ACT
50,Brisbane Exhibition,Brisbane,QLD
51,Blacktown,Sydney,NSW
52,Albury,Albury,NSW
