event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,10822.0,1990-03-31 03:10:00+00:00,1990,1,Carlton,Sydney,99.0,104.0,loss,1500.0,1497.2057443913945,-2.7942556086053676,Princes Park
match,10822.0,1990-03-31 03:10:00+00:00,1990,1,Sydney,Carlton,104.0,99.0,win,1500.0,1502.7942556086055,2.7942556086053676,Princes Park
match,10823.0,1990-03-31 03:10:00+00:00,1990,1,Essendon,Fitzroy,141.0,60.0,win,1500.0,1505.3335251555638,5.3335251555637635,Windy Hill
match,10823.0,1990-03-31 03:10:00+00:00,1990,1,Fitzroy,Essendon,60.0,141.0,loss,1500.0,1494.6664748444362,-5.3335251555637635,Windy Hill
match,10824.0,1990-03-31 03:10:00+00:00,1990,1,Geelong,Hawthorn,77.0,192.0,loss,1500.0,1491.824616408088,-8.175383591911947,Waverley Park
match,10824.0,1990-03-31 03:10:00+00:00,1990,1,Hawthorn,Geelong,192.0,77.0,win,1500.0,1508.175383591912,8.175383591911947,Waverley Park
match,10825.0,1990-03-31 03:10:00+00:00,1990,1,North Melbourne,Melbourne,89.0,142.0,loss,1500.0,1493.2372568086084,-6.762743191391456,M.C.G.
match,10825.0,1990-03-31 03:10:00+00:00,1990,1,Melbourne,North Melbourne,142.0,89.0,win,1500.0,1506.7627431913916,6.762743191391456,M.C.G.
match,10826.0,1990-03-31 08:40:00+00:00,1990,1,Brisbane Lions,Richmond,133.0,74.0,win,1500.0,1504.9251909980305,4.92519099803047,Carrara
match,10826.0,1990-03-31 08:40:00+00:00,1990,1,Richmond,Brisbane Lions,74.0,133.0,loss,1500.0,1495.0748090019695,-4.92519099803047,Carrara
match,10827.0,1990-04-01 03:10:00+00:00,1990,1,West Coast,Collingwood,100.0,54.0,win,1500.0,1504.6065975775493,4.606597577549256,Subiaco
match,10827.0,1990-04-01 03:10:00+00:00,1990,1,Collingwood,West Coast,54.0,100.0,loss,1500.0,1495.3934024224507,-4.606597577549256,Subiaco
match,10828.0,1990-04-01 03:10:00+00:00,1990,1,Western Bulldogs,St Kilda,81.0,144.0,loss,1500.0,1492.9239076375754,-7.07609236242466,Western Oval
